MATCH: Prime: 8662974319, Tangent: 52.970319, Cosine: -0.906129, Sine: 0.999822, Angle: 1.551920, Gamma: 0.246996, Zeta Zero: 52.970321, Difference: 0.000002
MATCH: Prime: 74375233441, Tangent: 131.087681, Cosine: 0.653036, Sine: 0.999971, Angle: 1.563168, Gamma: 0.248786, Zeta Zero: 131.087688, Difference: 0.000007
MATCH: Prime: 74452521229, Tangent: 423.716571, Cosine: -0.921668, Sine: 0.999997, Angle: 1.568436, Gamma: 0.249624, Zeta Zero: 423.716579, Difference: 0.000008
MATCH: Prime: 100350272423, Tangent: 14.134715, Cosine: 0.002452, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000010
MATCH: Prime: 74501400091, Tangent: 431.301297, Cosine: -0.619176, Sine: 0.999997, Angle: 1.568478, Gamma: 0.249631, Zeta Zero: 431.301306, Difference: 0.000009
MATCH: Prime: 48622884077, Tangent: 14.134717, Cosine: 0.002450, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000008
MATCH: Prime: 48622991419, Tangent: 118.790775, Cosine: 0.831082, Sine: 0.999965, Angle: 1.562378, Gamma: 0.248660, Zeta Zero: 118.790782, Difference: 0.000007
MATCH: Prime: 74659221061, Tangent: 121.370116, Cosine: -0.406664, Sine: 0.999966, Angle: 1.562557, Gamma: 0.248689, Zeta Zero: 121.370125, Difference: 0.000009
MATCH: Prime: 48954298207, Tangent: 14.134720, Cosine: 0.002446, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000005
MATCH: Prime: 100810871639, Tangent: 269.970448, Cosine: 0.978750, Sine: 0.999993, Angle: 1.567092, Gamma: 0.249410, Zeta Zero: 269.970449, Difference: 0.000001
MATCH: Prime: 49177759193, Tangent: 138.116040, Cosine: 0.993505, Sine: 0.999974, Angle: 1.563556, Gamma: 0.248848, Zeta Zero: 138.116042, Difference: 0.000002
MATCH: Prime: 75186768763, Tangent: 14.134718, Cosine: 0.002449, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000007
MATCH: Prime: 88248130981, Tangent: 56.446241, Cosine: 0.994759, Sine: 0.999843, Angle: 1.553082, Gamma: 0.247181, Zeta Zero: 56.446247, Difference: 0.000006
MATCH: Prime: 88385358497, Tangent: 49.773826, Cosine: 0.881552, Sine: 0.999798, Angle: 1.550708, Gamma: 0.246803, Zeta Zero: 49.773832, Difference: 0.000006
MATCH: Prime: 88572002879, Tangent: 21.022039, Cosine: -0.566034, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000000
MATCH: Prime: 101504802527, Tangent: 14.134720, Cosine: 0.002447, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000005
MATCH: Prime: 88818268463, Tangent: 287.911913, Cosine: 0.440527, Sine: 0.999994, Angle: 1.567323, Gamma: 0.249447, Zeta Zero: 287.911920, Difference: 0.000007
MATCH: Prime: 75849597023, Tangent: 14.134725, Cosine: 0.002442, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000000
MATCH: Prime: 75882838061, Tangent: 4471.361750, Cosine: -0.640687, Sine: 1.000000, Angle: 1.570573, Gamma: 0.249964, Zeta Zero: 4471.361757, Difference: 0.000007
MATCH: Prime: 433810549, Tangent: 14.134722, Cosine: 0.002445, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000003
MATCH: Prime: 8880348821, Tangent: 21.022034, Cosine: -0.566030, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000005
MATCH: Prime: 4956914821, Tangent: 67.079804, Cosine: -0.447921, Sine: 0.999889, Angle: 1.555890, Gamma: 0.247628, Zeta Zero: 67.079810, Difference: 0.000006
MATCH: Prime: 10140075821, Tangent: 14.134725, Cosine: 0.002442, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000000
MATCH: Prime: 50163919129, Tangent: 21.022032, Cosine: -0.566028, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000007
MATCH: Prime: 76237067483, Tangent: 1056.688838, Cosine: 0.441338, Sine: 1.000000, Angle: 1.569850, Gamma: 0.249849, Zeta Zero: 1056.688847, Difference: 0.000009
MATCH: Prime: 102263433011, Tangent: 65.112535, Cosine: -0.651747, Sine: 0.999882, Angle: 1.555440, Gamma: 0.247556, Zeta Zero: 65.112544, Difference: 0.000009
MATCH: Prime: 50313228337, Tangent: 30.424874, Cosine: 0.547809, Sine: 0.999460, Angle: 1.537940, Gamma: 0.244771, Zeta Zero: 30.424876, Difference: 0.000002
MATCH: Prime: 50354679233, Tangent: 14.134724, Cosine: 0.002443, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000001
MATCH: Prime: 76481952893, Tangent: 21.022036, Cosine: -0.566031, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000003
MATCH: Prime: 50409770051, Tangent: 21.022029, Cosine: -0.566026, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000010
MATCH: Prime: 50454897443, Tangent: 82.910370, Cosine: 0.335216, Sine: 0.999927, Angle: 1.558736, Gamma: 0.248080, Zeta Zero: 82.910380, Difference: 0.000010
MATCH: Prime: 76503433781, Tangent: 439.918435, Cosine: 0.995447, Sine: 0.999997, Angle: 1.568523, Gamma: 0.249638, Zeta Zero: 439.918442, Difference: 0.000007
MATCH: Prime: 102468572527, Tangent: 21.022033, Cosine: -0.566029, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000006
MATCH: Prime: 50514966947, Tangent: 14.134718, Cosine: 0.002449, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000007
MATCH: Prime: 50551418633, Tangent: 517.589659, Cosine: -0.715729, Sine: 0.999998, Angle: 1.568864, Gamma: 0.249693, Zeta Zero: 517.589668, Difference: 0.000009
MATCH: Prime: 89710989413, Tangent: 25.010856, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000001
MATCH: Prime: 50741184181, Tangent: 21.022037, Cosine: -0.566032, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000002
MATCH: Prime: 50811203819, Tangent: 25.010854, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000003
MATCH: Prime: 8985545717, Tangent: 14.134720, Cosine: 0.002447, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000005
MATCH: Prime: 89927532103, Tangent: 65.112537, Cosine: -0.651748, Sine: 0.999882, Angle: 1.555440, Gamma: 0.247556, Zeta Zero: 65.112544, Difference: 0.000007
MATCH: Prime: 51092231999, Tangent: 14.134720, Cosine: 0.002447, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000005
MATCH: Prime: 90090586847, Tangent: 610.839155, Cosine: 0.199274, Sine: 0.999999, Angle: 1.569159, Gamma: 0.249739, Zeta Zero: 610.839162, Difference: 0.000007
MATCH: Prime: 90099567853, Tangent: 111.874655, Cosine: 0.341127, Sine: 0.999960, Angle: 1.561858, Gamma: 0.248577, Zeta Zero: 111.874659, Difference: 0.000004
MATCH: Prime: 77164414841, Tangent: 14.134723, Cosine: 0.002444, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000002
MATCH: Prime: 51240428257, Tangent: 56.446244, Cosine: 0.994759, Sine: 0.999843, Angle: 1.553082, Gamma: 0.247181, Zeta Zero: 56.446247, Difference: 0.000003
MATCH: Prime: 77369847053, Tangent: 139.736205, Cosine: 0.064623, Sine: 0.999974, Angle: 1.563640, Gamma: 0.248861, Zeta Zero: 139.736208, Difference: 0.000003
MATCH: Prime: 90393711997, Tangent: 69.546400, Cosine: 0.908397, Sine: 0.999897, Angle: 1.556418, Gamma: 0.247712, Zeta Zero: 69.546401, Difference: 0.000001
MATCH: Prime: 77579226541, Tangent: 40.918712, Cosine: -0.996959, Sine: 0.999702, Angle: 1.546362, Gamma: 0.246111, Zeta Zero: 40.918719, Difference: 0.000007
MATCH: Prime: 90527831749, Tangent: 30.424870, Cosine: 0.547806, Sine: 0.999460, Angle: 1.537940, Gamma: 0.244771, Zeta Zero: 30.424876, Difference: 0.000006
MATCH: Prime: 90531119143, Tangent: 667.148488, Cosine: 0.425895, Sine: 0.999999, Angle: 1.569297, Gamma: 0.249761, Zeta Zero: 667.148494, Difference: 0.000006
MATCH: Prime: 51669497051, Tangent: 14.134722, Cosine: 0.002445, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000003
MATCH: Prime: 103888587241, Tangent: 14.134718, Cosine: 0.002449, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000007
MATCH: Prime: 10344475847, Tangent: 30.424872, Cosine: 0.547808, Sine: 0.999460, Angle: 1.537940, Gamma: 0.244771, Zeta Zero: 30.424876, Difference: 0.000004
MATCH: Prime: 78027399649, Tangent: 32.935056, Cosine: 0.051644, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000005
MATCH: Prime: 51922812881, Tangent: 48.005144, Cosine: -0.636184, Sine: 0.999783, Angle: 1.549968, Gamma: 0.246685, Zeta Zero: 48.005150, Difference: 0.000006
MATCH: Prime: 51924006149, Tangent: 59.347038, Cosine: -0.941675, Sine: 0.999858, Angle: 1.553948, Gamma: 0.247318, Zeta Zero: 59.347044, Difference: 0.000006
MATCH: Prime: 104184824113, Tangent: 25.010855, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000002
MATCH: Prime: 78361746217, Tangent: 87.425274, Cosine: 0.858058, Sine: 0.999935, Angle: 1.559358, Gamma: 0.248180, Zeta Zero: 87.425274, Difference: 0.000000
MATCH: Prime: 104227466279, Tangent: 48.005148, Cosine: -0.636181, Sine: 0.999783, Angle: 1.549968, Gamma: 0.246685, Zeta Zero: 48.005150, Difference: 0.000002
MATCH: Prime: 91337071613, Tangent: 60.831776, Cosine: -0.416217, Sine: 0.999865, Angle: 1.554359, Gamma: 0.247384, Zeta Zero: 60.831778, Difference: 0.000002
MATCH: Prime: 78409715789, Tangent: 8934.749919, Cosine: 0.998176, Sine: 1.000000, Angle: 1.570684, Gamma: 0.249982, Zeta Zero: 8934.749925, Difference: 0.000006
MATCH: Prime: 52301852921, Tangent: 21.022031, Cosine: -0.566027, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000008
MATCH: Prime: 52338745363, Tangent: 297.979267, Cosine: -0.890645, Sine: 0.999994, Angle: 1.567440, Gamma: 0.249466, Zeta Zero: 297.979277, Difference: 0.000010
MATCH: Prime: 52347741989, Tangent: 107.168603, Cosine: 0.937837, Sine: 0.999956, Angle: 1.561466, Gamma: 0.248515, Zeta Zero: 107.168611, Difference: 0.000008
MATCH: Prime: 52407049817, Tangent: 14.134719, Cosine: 0.002448, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000006
MATCH: Prime: 104400167189, Tangent: 459.513406, Cosine: 0.666808, Sine: 0.999998, Angle: 1.568620, Gamma: 0.249654, Zeta Zero: 459.513415, Difference: 0.000009
MATCH: Prime: 78639520373, Tangent: 14.134716, Cosine: 0.002451, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000009
MATCH: Prime: 52633267051, Tangent: 21.022039, Cosine: -0.566034, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000000
MATCH: Prime: 78865737607, Tangent: 21.022033, Cosine: -0.566028, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000006
MATCH: Prime: 104741939417, Tangent: 60.831771, Cosine: -0.416221, Sine: 0.999865, Angle: 1.554359, Gamma: 0.247384, Zeta Zero: 60.831778, Difference: 0.000007
MATCH: Prime: 52813241857, Tangent: 241.049152, Cosine: -0.657363, Sine: 0.999991, Angle: 1.566648, Gamma: 0.249340, Zeta Zero: 241.049157, Difference: 0.000005
MATCH: Prime: 104837135257, Tangent: 32.935053, Cosine: 0.051647, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000008
MATCH: Prime: 5245492289, Tangent: 30.424871, Cosine: 0.547807, Sine: 0.999460, Angle: 1.537940, Gamma: 0.244771, Zeta Zero: 30.424876, Difference: 0.000005
MATCH: Prime: 52991779777, Tangent: 48.005142, Cosine: -0.636186, Sine: 0.999783, Angle: 1.549968, Gamma: 0.246685, Zeta Zero: 48.005150, Difference: 0.000008
MATCH: Prime: 79156715921, Tangent: 82.910380, Cosine: 0.335208, Sine: 0.999927, Angle: 1.558736, Gamma: 0.248080, Zeta Zero: 82.910380, Difference: 0.000000
MATCH: Prime: 53083135397, Tangent: 146.000975, Cosine: 0.082988, Sine: 0.999977, Angle: 1.563947, Gamma: 0.248910, Zeta Zero: 146.000982, Difference: 0.000007
MATCH: Prime: 92255383427, Tangent: 32.935060, Cosine: 0.051640, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000001
MATCH: Prime: 53366063873, Tangent: 37.586173, Cosine: 0.993629, Sine: 0.999646, Angle: 1.544197, Gamma: 0.245767, Zeta Zero: 37.586178, Difference: 0.000005
MATCH: Prime: 53378362049, Tangent: 56.446237, Cosine: 0.994759, Sine: 0.999843, Angle: 1.553082, Gamma: 0.247181, Zeta Zero: 56.446247, Difference: 0.000010
MATCH: Prime: 79513022297, Tangent: 25.010855, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000002
MATCH: Prime: 53561579921, Tangent: 14.134723, Cosine: 0.002444, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000002
MATCH: Prime: 105836336717, Tangent: 133.497729, Cosine: 0.019958, Sine: 0.999972, Angle: 1.563306, Gamma: 0.248808, Zeta Zero: 133.497737, Difference: 0.000008
MATCH: Prime: 53806794259, Tangent: 103.725529, Cosine: -0.998597, Sine: 0.999954, Angle: 1.561156, Gamma: 0.248466, Zeta Zero: 103.725538, Difference: 0.000009
MATCH: Prime: 10596600407, Tangent: 25.010857, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000000
MATCH: Prime: 79961070577, Tangent: 295.573244, Cosine: 0.965475, Sine: 0.999994, Angle: 1.567413, Gamma: 0.249462, Zeta Zero: 295.573254, Difference: 0.000010
MATCH: Prime: 53976391621, Tangent: 40.918712, Cosine: -0.996959, Sine: 0.999702, Angle: 1.546362, Gamma: 0.246111, Zeta Zero: 40.918719, Difference: 0.000007
MATCH: Prime: 93108702877, Tangent: 182.207075, Cosine: 0.999986, Sine: 0.999985, Angle: 1.565308, Gamma: 0.249127, Zeta Zero: 182.207078, Difference: 0.000003
MATCH: Prime: 93113355073, Tangent: 14.134715, Cosine: 0.002452, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000010
MATCH: Prime: 80165333441, Tangent: 32.935053, Cosine: 0.051646, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000008
MATCH: Prime: 80175799481, Tangent: 37.586169, Cosine: 0.993629, Sine: 0.999646, Angle: 1.544197, Gamma: 0.245767, Zeta Zero: 37.586178, Difference: 0.000009
MATCH: Prime: 80625824627, Tangent: 59.347043, Cosine: -0.941677, Sine: 0.999858, Angle: 1.553948, Gamma: 0.247318, Zeta Zero: 59.347044, Difference: 0.000001
MATCH: Prime: 54771200843, Tangent: 21.022038, Cosine: -0.566033, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000001
MATCH: Prime: 93838706399, Tangent: 1981.748767, Cosine: -0.827477, Sine: 1.000000, Angle: 1.570292, Gamma: 0.249920, Zeta Zero: 1981.748768, Difference: 0.000001
MATCH: Prime: 54852566101, Tangent: 173.411532, Cosine: -0.811585, Sine: 0.999983, Angle: 1.565030, Gamma: 0.249082, Zeta Zero: 173.411536, Difference: 0.000004
MATCH: Prime: 54876397739, Tangent: 14.134722, Cosine: 0.002445, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000003
MATCH: Prime: 8042010863, Tangent: 32.935060, Cosine: 0.051640, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000001
MATCH: Prime: 81152980607, Tangent: 30.424873, Cosine: 0.547809, Sine: 0.999460, Angle: 1.537940, Gamma: 0.244771, Zeta Zero: 30.424876, Difference: 0.000003
MATCH: Prime: 55247680703, Tangent: 32.935061, Cosine: 0.051639, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000000
MATCH: Prime: 55262902687, Tangent: 21.022032, Cosine: -0.566028, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000007
MATCH: Prime: 94308930283, Tangent: 98.831191, Cosine: -0.128620, Sine: 0.999949, Angle: 1.560678, Gamma: 0.248390, Zeta Zero: 98.831194, Difference: 0.000003
MATCH: Prime: 81384451451, Tangent: 163.030707, Cosine: 0.945356, Sine: 0.999981, Angle: 1.564663, Gamma: 0.249024, Zeta Zero: 163.030709, Difference: 0.000002
MATCH: Prime: 55368099583, Tangent: 14.134719, Cosine: 0.002448, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000006
MATCH: Prime: 107690316259, Tangent: 247.136986, Cosine: -0.498583, Sine: 0.999992, Angle: 1.566750, Gamma: 0.249356, Zeta Zero: 247.136990, Difference: 0.000004
MATCH: Prime: 94845150229, Tangent: 14.134722, Cosine: 0.002445, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000003
MATCH: Prime: 107893899163, Tangent: 3862.983779, Cosine: 0.385373, Sine: 1.000000, Angle: 1.570537, Gamma: 0.249959, Zeta Zero: 3862.983783, Difference: 0.000004
MATCH: Prime: 9436525037, Tangent: 156.112900, Cosine: 0.567991, Sine: 0.999979, Angle: 1.564391, Gamma: 0.248981, Zeta Zero: 156.112909, Difference: 0.000009
MATCH: Prime: 10752661061, Tangent: 1500.351947, Cosine: 0.239115, Sine: 1.000000, Angle: 1.570130, Gamma: 0.249894, Zeta Zero: 1500.351951, Difference: 0.000004
MATCH: Prime: 5532157523, Tangent: 103.725531, Cosine: -0.998597, Sine: 0.999954, Angle: 1.561156, Gamma: 0.248466, Zeta Zero: 103.725538, Difference: 0.000007
MATCH: Prime: 5532794107, Tangent: 14.134722, Cosine: 0.002445, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000003
MATCH: Prime: 108144821137, Tangent: 21.022038, Cosine: -0.566033, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000001
MATCH: Prime: 82118527363, Tangent: 107.168606, Cosine: 0.937835, Sine: 0.999956, Angle: 1.561466, Gamma: 0.248515, Zeta Zero: 107.168611, Difference: 0.000005
MATCH: Prime: 108250018033, Tangent: 14.134722, Cosine: 0.002445, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000003
MATCH: Prime: 95422415281, Tangent: 14.134724, Cosine: 0.002443, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000001
MATCH: Prime: 95477506099, Tangent: 21.022031, Cosine: -0.566027, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000008
MATCH: Prime: 56327113639, Tangent: 37.586177, Cosine: 0.993630, Sine: 0.999646, Angle: 1.544197, Gamma: 0.245767, Zeta Zero: 37.586178, Difference: 0.000001
MATCH: Prime: 95668266203, Tangent: 14.134723, Cosine: 0.002444, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000002
MATCH: Prime: 82678210099, Tangent: 40.918714, Cosine: -0.996959, Sine: 0.999702, Angle: 1.546362, Gamma: 0.246111, Zeta Zero: 40.918719, Difference: 0.000005
MATCH: Prime: 95828553917, Tangent: 14.134717, Cosine: 0.002450, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000008
MATCH: Prime: 82853920771, Tangent: 146.000981, Cosine: 0.082982, Sine: 0.999977, Angle: 1.563947, Gamma: 0.248910, Zeta Zero: 146.000982, Difference: 0.000001
MATCH: Prime: 82895754269, Tangent: 21.022033, Cosine: -0.566029, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000006
MATCH: Prime: 10821730873, Tangent: 84.735490, Cosine: -0.996173, Sine: 0.999930, Angle: 1.558995, Gamma: 0.248122, Zeta Zero: 84.735492, Difference: 0.000002
MATCH: Prime: 95913480541, Tangent: 103.725529, Cosine: -0.998597, Sine: 0.999954, Angle: 1.561156, Gamma: 0.248466, Zeta Zero: 103.725538, Difference: 0.000009
MATCH: Prime: 5673448133, Tangent: 21.022036, Cosine: -0.566031, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000003
MATCH: Prime: 109283807671, Tangent: 25.010855, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000002
MATCH: Prime: 109290711767, Tangent: 419.861360, Cosine: 0.442820, Sine: 0.999997, Angle: 1.568415, Gamma: 0.249621, Zeta Zero: 419.861364, Difference: 0.000004
MATCH: Prime: 57154985557, Tangent: 21.022034, Cosine: -0.566030, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000005
MATCH: Prime: 83286374939, Tangent: 49.773824, Cosine: 0.881551, Sine: 0.999798, Angle: 1.550708, Gamma: 0.246803, Zeta Zero: 49.773832, Difference: 0.000008
MATCH: Prime: 96300622073, Tangent: 21.022033, Cosine: -0.566029, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000006
MATCH: Prime: 83492653009, Tangent: 14.134717, Cosine: 0.002450, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000008
MATCH: Prime: 109529658593, Tangent: 25.010852, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000005
MATCH: Prime: 83578216217, Tangent: 14.134722, Cosine: 0.002445, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000003
MATCH: Prime: 109691392357, Tangent: 176.441430, Cosine: 0.871648, Sine: 0.999984, Angle: 1.565129, Gamma: 0.249098, Zeta Zero: 176.441434, Difference: 0.000004
MATCH: Prime: 109705489877, Tangent: 21.022032, Cosine: -0.566028, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000007
MATCH: Prime: 83730639667, Tangent: 256.380712, Cosine: 0.334346, Sine: 0.999992, Angle: 1.566896, Gamma: 0.249379, Zeta Zero: 256.380713, Difference: 0.000001
MATCH: Prime: 83738503931, Tangent: 14.134716, Cosine: 0.002451, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000009
MATCH: Prime: 1011075601, Tangent: 14.134724, Cosine: 0.002443, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000001
MATCH: Prime: 8303083769, Tangent: 21.022029, Cosine: -0.566026, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000010
MATCH: Prime: 5778645029, Tangent: 14.134721, Cosine: 0.002446, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000004
MATCH: Prime: 57997735219, Tangent: 14.134716, Cosine: 0.002451, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000009
MATCH: Prime: 58293972091, Tangent: 25.010850, Cosine: 0.992580, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000007
MATCH: Prime: 84315768983, Tangent: 14.134718, Cosine: 0.002449, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000007
